Datetime,Activity_Type
2022-12-14 05:21:00,Floors Climbed
2022-12-14 05:45:00,Light Sleep
2022-12-14 07:37:00,Light Sleep
2022-12-14 08:26:00,Light Sleep
2022-12-14 08:35:00,No Physical Activity
2022-12-14 09:28:00,No Physical Activity
2022-12-14 09:30:00,Running
2022-12-14 11:21:00,No Physical Activity
2022-12-14 13:31:00,No Physical Activity
2022-12-14 14:10:00,Floors Climbed
2022-12-14 14:15:00,Light Sleep
2022-12-14 15:11:00,Light Sleep
2022-12-14 16:10:00,Floors Climbed
2022-12-14 17:05:00,No Physical Activity
2022-12-14 18:10:00,No Physical Activity
2022-12-14 20:04:00,No Physical Activity
2022-12-14 21:17:00,Light Sleep
2022-12-14 22:02:00,Walking
2022-12-14 22:05:00,Floors Climbed
2022-12-14 22:09:00,Floors Climbed
2022-12-14 22:11:00,Light Sleep
2022-12-15 00:36:00,No Physical Activity
2022-12-15 00:54:00,Running
2022-12-15 01:41:00,Running
2022-12-15 02:40:00,Floors Climbed
2022-12-15 02:44:00,Floors Climbed
2022-12-15 02:53:00,Light Sleep
2022-12-15 03:50:00,No Physical Activity
2022-12-15 03:52:00,Light Sleep
2022-12-15 04:36:00,Running
2022-12-15 04:36:00,Floors Climbed
2022-12-15 04:37:00,No Physical Activity
2022-12-15 04:39:00,No Physical Activity
2022-12-15 04:48:00,Floors Climbed
2022-12-15 05:40:00,REM Sleep
2022-12-15 05:42:00,REM Sleep
2022-12-15 06:30:00,Running
2022-12-15 07:25:00,No Physical Activity
2022-12-15 07:29:00,Running
2022-12-15 11:26:00,Light Sleep
2022-12-15 12:12:00,No Physical Activity
2022-12-15 15:08:00,Light Sleep
2022-12-15 17:06:00,Running
2022-12-15 18:06:00,Light Sleep
2022-12-15 18:10:00,Running
2022-12-15 18:15:00,Running
2022-12-15 20:04:00,Floors Climbed
2022-12-15 20:06:00,No Physical Activity
2022-12-15 20:10:00,Floors Climbed
2022-12-15 20:13:00,Light Sleep
2022-12-15 21:05:00,Running
2022-12-15 22:09:00,Light Sleep
2022-12-16 00:51:00,Light Sleep
2022-12-16 00:55:00,Running
2022-12-16 01:36:00,Light Sleep
2022-12-16 01:42:00,Light Sleep
2022-12-16 02:48:00,Running
2022-12-16 03:45:00,Running
2022-12-16 03:47:00,No Physical Activity
2022-12-16 03:50:00,Light Sleep
2022-12-16 03:51:00,Running
2022-12-16 04:34:00,Running
2022-12-16 04:46:00,Light Sleep
2022-12-16 04:50:00,No Physical Activity
2022-12-16 05:31:00,No Physical Activity
2022-12-16 05:32:00,REM Sleep
2022-12-16 05:37:00,Light Sleep
2022-12-16 05:37:00,Light Sleep
2022-12-16 06:32:00,Light Sleep
2022-12-16 07:33:00,Running
2022-12-16 08:18:00,No Physical Activity
2022-12-16 08:31:00,No Physical Activity
2022-12-16 10:22:00,REM Sleep
2022-12-16 10:25:00,No Physical Activity
2022-12-16 11:14:00,Light Sleep
2022-12-16 11:16:00,Floors Climbed
2022-12-16 11:19:00,Running
2022-12-16 11:23:00,No Physical Activity
2022-12-16 11:26:00,Light Sleep
2022-12-16 12:16:00,Floors Climbed
2022-12-16 14:13:00,Running
2022-12-16 15:08:00,No Physical Activity
2022-12-16 15:22:00,Floors Climbed
2022-12-16 16:06:00,Light Sleep
2022-12-16 16:15:00,No Physical Activity
2022-12-16 17:05:00,Floors Climbed
2022-12-16 18:07:00,No Physical Activity
2022-12-16 18:12:00,Light Sleep
2022-12-16 19:04:00,Running
2022-12-16 19:05:00,Running
2022-12-16 20:04:00,Floors Climbed
2022-12-16 20:07:00,No Physical Activity
2022-12-16 20:09:00,Light Sleep
2022-12-16 20:11:00,Floors Climbed
2022-12-16 21:04:00,Running
2022-12-16 21:07:00,Walking
2022-12-16 21:10:00,No Physical Activity
2022-12-16 21:12:00,REM Sleep
2022-12-16 22:01:00,Running
2022-12-16 22:04:00,No Physical Activity
2022-12-16 22:07:00,Running
2022-12-16 22:08:00,No Physical Activity
2022-12-16 22:10:00,Light Sleep
2022-12-16 22:11:00,Running
2022-12-17 00:51:00,No Physical Activity
2022-12-17 00:54:00,Light Sleep
2022-12-17 00:54:00,Light Sleep
2022-12-17 01:51:00,Light Sleep
2022-12-17 02:29:00,Running
2022-12-17 02:45:00,Light Sleep
2022-12-17 02:48:00,Light Sleep
2022-12-17 02:50:00,No Physical Activity
2022-12-17 02:52:00,Running
2022-12-17 03:33:00,No Physical Activity
2022-12-17 03:41:00,Light Sleep
2022-12-17 03:48:00,No Physical Activity
2022-12-17 04:22:00,No Physical Activity
2022-12-17 04:35:00,No Physical Activity
2022-12-17 04:51:00,Running
2022-12-17 05:32:00,Running
2022-12-17 05:33:00,No Physical Activity
2022-12-17 05:34:00,Light Sleep
2022-12-17 05:41:00,Light Sleep
2022-12-17 06:32:00,No Physical Activity
2022-12-17 07:41:00,Light Sleep
2022-12-17 08:27:00,No Physical Activity
2022-12-17 08:38:00,Light Sleep
2022-12-17 11:24:00,No Physical Activity
2022-12-17 11:33:00,Running
2022-12-17 12:20:00,Running
2022-12-17 12:33:00,No Physical Activity
2022-12-17 13:10:00,Floors Climbed
2022-12-17 13:15:00,Light Sleep
2022-12-17 13:22:00,Running
2022-12-17 14:23:00,Running
2022-12-17 17:05:00,Light Sleep
2022-12-17 17:05:00,Light Sleep
2022-12-17 17:11:00,No Physical Activity
2022-12-17 18:24:00,Running
2022-12-17 18:27:00,Running
2022-12-17 19:08:00,Running
2022-12-17 22:03:00,Light Sleep
2022-12-17 22:05:00,No Physical Activity
2022-12-17 22:08:00,No Physical Activity
2022-12-17 22:09:00,Running
2022-12-17 22:12:00,Light Sleep
2022-12-18 00:45:00,Running
2022-12-18 00:57:00,Light Sleep
2022-12-18 01:38:00,Running
2022-12-18 01:41:00,REM Sleep
2022-12-18 01:44:00,Running
2022-12-18 01:53:00,Light Sleep
2022-12-18 01:54:00,REM Sleep
2022-12-18 02:28:00,REM Sleep
2022-12-18 02:45:00,Floors Climbed
2022-12-18 02:47:00,Running
2022-12-18 02:51:00,No Physical Activity
2022-12-18 03:38:00,No Physical Activity
2022-12-18 03:46:00,Light Sleep
2022-12-18 03:51:00,Light Sleep
2022-12-18 03:51:00,No Physical Activity
2022-12-18 03:52:00,Running
2022-12-18 04:26:00,Light Sleep
2022-12-18 04:44:00,No Physical Activity
2022-12-18 05:41:00,Light Sleep
2022-12-18 06:30:00,No Physical Activity
2022-12-18 07:29:00,Floors Climbed
2022-12-18 08:17:00,Light Sleep
2022-12-18 08:24:00,Light Sleep
2022-12-18 08:27:00,Running
2022-12-18 09:16:00,Running
2022-12-18 09:28:00,Light Sleep
2022-12-18 10:18:00,Floors Climbed
2022-12-18 10:29:00,REM Sleep
2022-12-18 13:11:00,Running
2022-12-18 13:14:00,No Physical Activity
2022-12-18 13:16:00,Running
2022-12-18 13:30:00,No Physical Activity
2022-12-18 14:10:00,REM Sleep
2022-12-18 15:09:00,Light Sleep
2022-12-18 15:17:00,No Physical Activity
2022-12-18 20:10:00,REM Sleep
2022-12-18 21:04:00,Light Sleep
2022-12-18 21:06:00,No Physical Activity
2022-12-18 21:08:00,No Physical Activity
2022-12-18 22:03:00,Running
2022-12-18 22:13:00,REM Sleep
2022-12-19 00:43:00,Running
2022-12-19 00:52:00,Running
2022-12-19 00:55:00,Running
2022-12-19 02:43:00,No Physical Activity
2022-12-19 02:44:00,Light Sleep
2022-12-19 02:47:00,No Physical Activity
2022-12-19 02:52:00,Light Sleep
2022-12-19 02:53:00,REM Sleep
2022-12-19 02:54:00,REM Sleep
2022-12-19 03:39:00,Light Sleep
2022-12-19 03:41:00,No Physical Activity
2022-12-19 03:48:00,Light Sleep
2022-12-19 03:52:00,Light Sleep
2022-12-19 03:53:00,No Physical Activity
2022-12-19 04:30:00,Floors Climbed
2022-12-19 04:50:00,Running
2022-12-19 05:32:00,Light Sleep
2022-12-19 05:32:00,No Physical Activity
2022-12-19 05:41:00,Light Sleep
2022-12-19 07:29:00,Light Sleep
2022-12-19 08:31:00,Light Sleep
2022-12-19 10:27:00,Floors Climbed
2022-12-19 10:30:00,Floors Climbed
2022-12-19 12:12:00,Running
2022-12-19 12:22:00,Running
2022-12-19 15:19:00,Running
2022-12-19 17:11:00,No Physical Activity
2022-12-19 18:05:00,Light Sleep
2022-12-19 18:06:00,Light Sleep
2022-12-19 18:17:00,Floors Climbed
2022-12-19 19:14:00,Running
2022-12-19 20:04:00,Light Sleep
2022-12-19 20:04:00,Light Sleep
2022-12-19 21:05:00,Running
2022-12-19 21:10:00,No Physical Activity
2022-12-19 22:04:00,Light Sleep
2022-12-19 22:05:00,REM Sleep
2022-12-19 22:06:00,Light Sleep
2022-12-19 22:10:00,Running
2022-12-19 22:13:00,Running
2022-12-20 01:46:00,Light Sleep
2022-12-20 01:50:00,REM Sleep
2022-12-20 01:53:00,Light Sleep
2022-12-20 02:39:00,No Physical Activity
2022-12-20 02:44:00,No Physical Activity
2022-12-20 02:47:00,Light Sleep
2022-12-20 02:53:00,No Physical Activity
2022-12-20 03:34:00,Light Sleep
2022-12-20 03:42:00,Running
2022-12-20 03:44:00,Floors Climbed
2022-12-20 03:50:00,Running
2022-12-20 03:51:00,Running
2022-12-20 03:53:00,Light Sleep
2022-12-20 03:53:00,No Physical Activity
2022-12-20 04:38:00,Light Sleep
2022-12-20 05:33:00,Running
2022-12-20 05:34:00,Running
2022-12-20 05:35:00,No Physical Activity
2022-12-20 05:36:00,Light Sleep
2022-12-20 06:32:00,REM Sleep
2022-12-20 06:34:00,No Physical Activity
2022-12-20 07:29:00,REM Sleep
2022-12-20 08:20:00,Light Sleep
2022-12-20 08:30:00,No Physical Activity
2022-12-20 08:36:00,No Physical Activity
2022-12-20 09:27:00,Floors Climbed
2022-12-20 09:30:00,Light Sleep
2022-12-20 10:14:00,Light Sleep
2022-12-20 10:27:00,Running
2022-12-20 11:27:00,No Physical Activity
2022-12-20 11:29:00,No Physical Activity
2022-12-20 13:11:00,Light Sleep
2022-12-20 13:23:00,Floors Climbed
2022-12-20 13:24:00,No Physical Activity
2022-12-20 16:06:00,No Physical Activity
2022-12-20 16:18:00,Light Sleep
2022-12-20 17:06:00,No Physical Activity
2022-12-20 19:05:00,Running
2022-12-20 19:06:00,Running
2022-12-20 20:05:00,Running
2022-12-20 20:11:00,Light Sleep
2022-12-20 22:02:00,Floors Climbed
2022-12-21 00:43:00,Floors Climbed
2022-12-21 00:55:00,Floors Climbed
2022-12-21 02:30:00,Light Sleep
2022-12-21 02:44:00,Light Sleep
2022-12-21 02:44:00,Light Sleep
2022-12-21 02:51:00,Light Sleep
2022-12-21 02:54:00,No Physical Activity
2022-12-21 03:47:00,Running
2022-12-21 03:48:00,No Physical Activity
2022-12-21 03:50:00,No Physical Activity
2022-12-21 03:51:00,Light Sleep
2022-12-21 03:52:00,No Physical Activity
2022-12-21 04:31:00,No Physical Activity
2022-12-21 05:31:00,Light Sleep
2022-12-21 05:32:00,Light Sleep
2022-12-21 05:33:00,Light Sleep
2022-12-21 05:37:00,Running
2022-12-21 06:25:00,No Physical Activity
2022-12-21 06:29:00,Light Sleep
2022-12-21 06:36:00,Running
2022-12-21 07:33:00,Running
2022-12-21 08:25:00,Light Sleep
2022-12-21 08:31:00,Light Sleep
2022-12-21 09:16:00,No Physical Activity
2022-12-21 10:15:00,REM Sleep
2022-12-21 10:27:00,No Physical Activity
2022-12-21 11:16:00,Running
2022-12-21 12:13:00,No Physical Activity
2022-12-21 13:14:00,Light Sleep
2022-12-21 13:16:00,Light Sleep
2022-12-21 14:09:00,REM Sleep
2022-12-21 14:10:00,No Physical Activity
2022-12-21 14:22:00,No Physical Activity
2022-12-21 15:08:00,Light Sleep
2022-12-21 15:08:00,Running
2022-12-21 16:07:00,No Physical Activity
2022-12-21 16:08:00,Floors Climbed
2022-12-21 16:12:00,Light Sleep
2022-12-21 17:06:00,Light Sleep
2022-12-21 17:06:00,No Physical Activity
2022-12-21 18:06:00,REM Sleep
2022-12-21 18:17:00,Running
2022-12-21 19:05:00,No Physical Activity
2022-12-21 20:08:00,No Physical Activity
2022-12-21 20:20:00,Light Sleep
2022-12-21 21:10:00,No Physical Activity
2022-12-21 22:03:00,Running
2022-12-21 22:04:00,Running
2022-12-21 22:05:00,Floors Climbed
2022-12-21 22:08:00,Floors Climbed
2022-12-22 00:42:00,Running
2022-12-22 00:43:00,Light Sleep
2022-12-22 00:52:00,Light Sleep
2022-12-22 00:53:00,No Physical Activity
2022-12-22 00:54:00,Floors Climbed
2022-12-22 01:42:00,Running
2022-12-22 01:51:00,Light Sleep
2022-12-22 03:41:00,Running
2022-12-22 03:44:00,Light Sleep
2022-12-22 03:49:00,Light Sleep
2022-12-22 04:34:00,Running
2022-12-22 05:25:00,Running
2022-12-22 05:37:00,Light Sleep
2022-12-22 05:41:00,Running
2022-12-22 06:21:00,Light Sleep
2022-12-22 06:31:00,No Physical Activity
2022-12-22 07:29:00,Running
2022-12-22 07:31:00,REM Sleep
2022-12-22 07:31:00,REM Sleep
2022-12-22 07:31:00,Floors Climbed
2022-12-22 08:32:00,Light Sleep
2022-12-22 08:33:00,Running
2022-12-22 09:28:00,No Physical Activity
2022-12-22 10:18:00,REM Sleep
2022-12-22 11:14:00,No Physical Activity
2022-12-22 11:23:00,Floors Climbed
2022-12-22 11:24:00,No Physical Activity
2022-12-22 11:25:00,Light Sleep
2022-12-22 12:14:00,No Physical Activity
2022-12-22 12:20:00,No Physical Activity
2022-12-22 13:24:00,REM Sleep
2022-12-22 14:34:00,REM Sleep
2022-12-22 15:15:00,No Physical Activity
2022-12-22 15:21:00,Floors Climbed
2022-12-22 15:29:00,Walking
2022-12-22 16:08:00,Light Sleep
2022-12-22 17:06:00,Light Sleep
2022-12-22 17:10:00,No Physical Activity
2022-12-22 19:08:00,No Physical Activity
2022-12-22 19:16:00,Light Sleep
2022-12-22 22:02:00,Running
2022-12-22 22:03:00,No Physical Activity
2022-12-22 22:04:00,Light Sleep
2022-12-22 22:05:00,Light Sleep
2022-12-22 22:05:00,Floors Climbed
2022-12-22 22:06:00,Running
2022-12-22 22:13:00,Floors Climbed
2022-12-23 00:41:00,Running
2022-12-23 00:43:00,REM Sleep
2022-12-23 00:44:00,Light Sleep
2022-12-23 00:51:00,No Physical Activity
2022-12-23 00:54:00,No Physical Activity
2022-12-23 01:37:00,Light Sleep
2022-12-23 01:42:00,Floors Climbed
2022-12-23 01:50:00,Light Sleep
2022-12-23 01:52:00,Running
2022-12-23 01:54:00,Floors Climbed
2022-12-23 02:51:00,Running
2022-12-23 02:52:00,No Physical Activity
2022-12-23 02:53:00,Light Sleep
2022-12-23 03:28:00,Light Sleep
2022-12-23 03:46:00,No Physical Activity
2022-12-23 03:55:00,No Physical Activity
2022-12-23 04:33:00,REM Sleep
2022-12-23 04:51:00,No Physical Activity
2022-12-23 04:51:00,Floors Climbed
2022-12-23 05:42:00,Floors Climbed
2022-12-23 06:32:00,No Physical Activity
2022-12-23 07:28:00,No Physical Activity
2022-12-23 07:32:00,Light Sleep
2022-12-23 11:22:00,Light Sleep
2022-12-23 11:23:00,Walking
2022-12-23 11:25:00,Light Sleep
2022-12-23 12:25:00,Running
2022-12-23 13:23:00,REM Sleep
2022-12-23 14:10:00,No Physical Activity
2022-12-23 14:19:00,No Physical Activity
2022-12-23 15:15:00,Light Sleep
2022-12-23 15:21:00,Floors Climbed
2022-12-23 16:10:00,Light Sleep
2022-12-23 17:06:00,Floors Climbed
2022-12-23 18:05:00,Light Sleep
2022-12-23 18:08:00,Light Sleep
2022-12-23 19:06:00,No Physical Activity
2022-12-23 20:06:00,Light Sleep
2022-12-23 22:00:00,Running
2022-12-23 22:05:00,Running
2022-12-23 22:07:00,Light Sleep
2022-12-24 00:41:00,REM Sleep
2022-12-24 00:52:00,No Physical Activity
2022-12-24 00:53:00,Light Sleep
2022-12-24 00:55:00,REM Sleep
2022-12-24 01:49:00,Running
2022-12-24 02:48:00,Light Sleep
2022-12-24 02:53:00,Light Sleep
2022-12-24 03:26:00,Light Sleep
2022-12-24 03:40:00,Light Sleep
2022-12-24 03:46:00,REM Sleep
2022-12-24 03:49:00,Running
2022-12-24 03:50:00,Running
2022-12-24 03:52:00,Light Sleep
2022-12-24 04:32:00,Running
2022-12-24 04:36:00,Light Sleep
2022-12-24 04:43:00,Running
2022-12-24 05:33:00,Light Sleep
2022-12-24 05:34:00,Running
2022-12-24 05:38:00,Light Sleep
2022-12-24 06:42:00,No Physical Activity
2022-12-24 07:28:00,Light Sleep
2022-12-24 07:37:00,No Physical Activity
2022-12-24 08:28:00,Running
2022-12-24 09:14:00,No Physical Activity
2022-12-24 09:18:00,Light Sleep
2022-12-24 09:28:00,No Physical Activity
2022-12-24 09:29:00,Light Sleep
2022-12-24 10:26:00,Light Sleep
2022-12-24 12:16:00,Light Sleep
2022-12-24 13:24:00,Light Sleep
2022-12-24 14:20:00,Running
2022-12-24 15:12:00,No Physical Activity
2022-12-24 15:12:00,Running
2022-12-24 17:16:00,REM Sleep
2022-12-24 17:16:00,Running
