Activity_Type,Heart rate___beats/minute,Sleep type duration_minutes,Sleep duration_minutes,Calories burned_kcal,Exercise duration_s,Floors climbed___floors,Code
Light Sleep,80,9,32,,,,93830-8
REM Sleep,63,-1,3,,,,93829-0
Light Sleep,85,19,14,,,,93830-8
REM Sleep,56,1,4,,,,93829-0
REM Sleep,51,1,1,,,,93829-0
Light Sleep,70,16,0,,,,93830-8
REM Sleep,72,0,0,,,,93829-0
Light Sleep,62,8,12,,,,93830-8
Light Sleep,52,6,4,,,,93830-8
Light Sleep,78,11,41,,,,93830-8
Light Sleep,83,10,18,,,,93830-8
Light Sleep,56,3,3,,,,93830-8
REM Sleep,55,0,8,,,,93829-0
REM Sleep,63,0,-1,,,,93829-0
Light Sleep,65,1,2,,,,93830-8
Light Sleep,52,7,5,,,,93830-8
REM Sleep,49,3,8,,,,93829-0
Light Sleep,77,13,21,,,,93830-8
Light Sleep,76,9,18,,,,93830-8
Light Sleep,80,8,0,,,,93830-8
Light Sleep,56,19,24,,,,93830-8
Light Sleep,56,0,0,,,,93830-8
REM Sleep,56,1,5,,,,93829-0
REM Sleep,58,1,0,,,,93829-0
Light Sleep,52,4,5,,,,93830-8
Light Sleep,56,5,7,,,,93830-8
REM Sleep,49,2,3,,,,93829-0
REM Sleep,63,2,0,,,,93829-0
Light Sleep,50,5,12,,,,93830-8
Light Sleep,78,18,23,,,,93830-8
Light Sleep,67,0,0,,,,93830-8
Light Sleep,59,3,4,,,,93830-8
Light Sleep,50,5,3,,,,93830-8
Light Sleep,55,4,9,,,,93830-8
Light Sleep,85,16,23,,,,93830-8
REM Sleep,68,2,5,,,,93829-0
REM Sleep,66,0,-1,,,,93829-0
Light Sleep,84,11,19,,,,93830-8
REM Sleep,66,1,0,,,,93829-0
Light Sleep,58,5,14,,,,93830-8
Light Sleep,67,11,11,,,,93830-8
Light Sleep,60,5,35,,,,93830-8
Light Sleep,70,19,4,,,,93830-8
REM Sleep,62,0,0,,,,93829-0
Light Sleep,84,9,23,,,,93830-8
Light Sleep,84,11,28,,,,93830-8
Light Sleep,78,6,5,,,,93830-8
Light Sleep,83,21,17,,,,93830-8
REM Sleep,65,0,-1,,,,93829-0
REM Sleep,64,0,3,,,,93829-0
Light Sleep,59,12,28,,,,93830-8
REM Sleep,49,3,1,,,,93829-0
Light Sleep,60,5,11,,,,93830-8
Light Sleep,71,10,6,,,,93830-8
REM Sleep,53,4,-1,,,,93829-0
REM Sleep,62,0,0,,,,93829-0
Light Sleep,84,18,21,,,,93830-8
Light Sleep,52,4,11,,,,93830-8
Light Sleep,83,7,5,,,,93830-8
Light Sleep,55,4,10,,,,93830-8
Light Sleep,56,20,17,,,,93830-8
REM Sleep,50,2,3,,,,93829-0
REM Sleep,50,3,4,,,,93829-0
Light Sleep,83,10,11,,,,93830-8
Light Sleep,55,3,13,,,,93830-8
REM Sleep,48,1,6,,,,93829-0
Light Sleep,58,8,6,,,,93830-8
Light Sleep,55,16,8,,,,93830-8
Light Sleep,84,21,22,,,,93830-8
REM Sleep,52,3,8,,,,93829-0
Light Sleep,85,11,32,,,,93830-8
Light Sleep,63,21,13,,,,93830-8
REM Sleep,58,2,2,,,,93829-0
Light Sleep,53,1,3,,,,93830-8
Light Sleep,74,10,41,,,,93830-8
Light Sleep,84,18,22,,,,93830-8
Light Sleep,81,16,22,,,,93830-8
Light Sleep,85,9,16,,,,93830-8
Light Sleep,84,17,15,,,,93830-8
Light Sleep,83,11,29,,,,93830-8
Light Sleep,50,5,3,,,,93830-8
Light Sleep,77,6,10,,,,93830-8
Light Sleep,85,14,32,,,,93830-8
REM Sleep,50,3,4,,,,93829-0
REM Sleep,57,1,6,,,,93829-0
REM Sleep,55,2,4,,,,93829-0
Light Sleep,84,8,21,,,,93830-8
Light Sleep,71,7,1,,,,93830-8
Light Sleep,50,4,2,,,,93830-8
Light Sleep,66,6,26,,,,93830-8
Light Sleep,77,18,24,,,,93830-8
Light Sleep,52,4,6,,,,93830-8
Light Sleep,82,12,25,,,,93830-8
REM Sleep,59,1,3,,,,93829-0
Light Sleep,59,7,29,,,,93830-8
Light Sleep,84,15,46,,,,93830-8
Light Sleep,83,8,17,,,,93830-8
Light Sleep,78,10,24,,,,93830-8
Light Sleep,68,12,5,,,,93830-8
Light Sleep,74,4,10,,,,93830-8
Light Sleep,80,8,18,,,,93830-8
REM Sleep,50,-1,-1,,,,93829-0
Light Sleep,81,6,7,,,,93830-8
Light Sleep,75,11,19,,,,93830-8
REM Sleep,50,1,2,,,,93829-0
Light Sleep,55,2,5,,,,93830-8
Light Sleep,55,11,1,,,,93830-8
Light Sleep,53,4,3,,,,93830-8
Light Sleep,51,20,22,,,,93830-8
Light Sleep,58,11,15,,,,93830-8
Light Sleep,78,11,19,,,,93830-8
Light Sleep,83,12,16,,,,93830-8
Light Sleep,77,9,20,,,,93830-8
Light Sleep,83,12,20,,,,93830-8
Light Sleep,56,5,11,,,,93830-8
Light Sleep,71,10,27,,,,93830-8
Light Sleep,60,8,38,,,,93830-8
REM Sleep,51,0,0,,,,93829-0
REM Sleep,52,2,4,,,,93829-0
Light Sleep,82,9,14,,,,93830-8
Light Sleep,84,11,29,,,,93830-8
Light Sleep,67,1,1,,,,93830-8
Light Sleep,77,8,36,,,,93830-8
Light Sleep,77,2,0,,,,93830-8
Light Sleep,65,9,21,,,,93830-8
REM Sleep,64,-1,-1,,,,93829-0
Light Sleep,85,11,13,,,,93830-8
Light Sleep,79,10,4,,,,93830-8
Light Sleep,51,5,13,,,,93830-8
Light Sleep,83,7,35,,,,93830-8
REM Sleep,63,8,1,,,,93829-0
Light Sleep,75,13,23,,,,93830-8
Light Sleep,72,10,14,,,,93830-8
Light Sleep,85,18,19,,,,93830-8
Light Sleep,63,0,-1,,,,93830-8
Light Sleep,58,3,5,,,,93830-8
Light Sleep,81,5,13,,,,93830-8
Light Sleep,55,4,14,,,,93830-8
Light Sleep,71,0,12,,,,93830-8
Light Sleep,60,6,1,,,,93830-8
REM Sleep,65,1,7,,,,93829-0
Light Sleep,83,5,18,,,,93830-8
Light Sleep,83,10,9,,,,93830-8
Light Sleep,65,1,24,,,,93830-8
Light Sleep,82,18,10,,,,93830-8
Light Sleep,77,16,22,,,,93830-8
Light Sleep,78,18,30,,,,93830-8
Light Sleep,84,6,22,,,,93830-8
Light Sleep,76,10,28,,,,93830-8
Light Sleep,83,9,18,,,,93830-8
Light Sleep,68,9,20,,,,93830-8
Light Sleep,54,8,9,,,,93830-8
REM Sleep,49,2,2,,,,93829-0
Light Sleep,84,17,14,,,,93830-8
Light Sleep,59,6,2,,,,93830-8
Light Sleep,79,11,14,,,,93830-8
Light Sleep,78,7,37,,,,93830-8
Light Sleep,58,1,4,,,,93830-8
Light Sleep,84,6,22,,,,93830-8
Light Sleep,85,10,26,,,,93830-8
REM Sleep,76,0,1,,,,93829-0
Light Sleep,49,1,1,,,,93830-8
Light Sleep,72,5,5,,,,93830-8
Light Sleep,71,12,22,,,,93830-8
Light Sleep,86,9,11,,,,93830-8
Light Sleep,85,11,26,,,,93830-8
Light Sleep,76,14,20,,,,93830-8
Light Sleep,60,3,26,,,,93830-8
Light Sleep,48,14,13,,,,93830-8
Light Sleep,60,-1,1,,,,93830-8
REM Sleep,59,5,4,,,,93829-0
Light Sleep,64,5,11,,,,93830-8
Light Sleep,50,6,8,,,,93830-8
Light Sleep,85,3,12,,,,93830-8
Light Sleep,51,2,3,,,,93830-8
REM Sleep,51,2,3,,,,93829-0
Light Sleep,75,21,21,,,,93830-8
Light Sleep,80,9,39,,,,93830-8
REM Sleep,65,0,2,,,,93829-0
Light Sleep,64,3,11,,,,93830-8
REM Sleep,51,0,4,,,,93829-0
Light Sleep,56,4,28,,,,93830-8
Light Sleep,68,5,11,,,,93830-8
REM Sleep,50,0,0,,,,93829-0
Light Sleep,75,8,36,,,,93830-8
Light Sleep,83,10,18,,,,93830-8
Light Sleep,52,7,13,,,,93830-8
Light Sleep,67,0,-1,,,,93830-8
REM Sleep,51,1,0,,,,93829-0
Light Sleep,79,11,21,,,,93830-8
REM Sleep,66,-1,-1,,,,93829-0
Light Sleep,84,7,5,,,,93830-8
REM Sleep,62,0,-2,,,,93829-0
Light Sleep,84,9,28,,,,93830-8
REM Sleep,59,0,3,,,,93829-0
REM Sleep,52,2,5,,,,93829-0
Light Sleep,79,9,18,,,,93830-8
Light Sleep,76,-1,-1,,,,93830-8
Light Sleep,73,0,11,,,,93830-8
Light Sleep,50,3,7,,,,93830-8
Light Sleep,84,17,30,,,,93830-8
Light Sleep,84,12,22,,,,93830-8
Light Sleep,59,5,10,,,,93830-8
REM Sleep,56,3,3,,,,93829-0
Light Sleep,84,17,23,,,,93830-8
Light Sleep,62,0,0,,,,93830-8
Light Sleep,51,5,3,,,,93830-8
Light Sleep,56,11,20,,,,93830-8
Light Sleep,80,6,25,,,,93830-8
REM Sleep,66,3,3,,,,93829-0
Light Sleep,85,21,44,,,,93830-8
Light Sleep,55,11,36,,,,93830-8
Light Sleep,84,10,22,,,,93830-8
REM Sleep,49,0,-1,,,,93829-0
Light Sleep,50,4,11,,,,93830-8
Light Sleep,66,-1,33,,,,93830-8
Light Sleep,83,14,21,,,,93830-8
Light Sleep,74,16,40,,,,93830-8
REM Sleep,57,3,10,,,,93829-0
Light Sleep,56,16,15,,,,93830-8
Light Sleep,59,6,3,,,,93830-8
REM Sleep,50,0,3,,,,93829-0
Light Sleep,49,0,8,,,,93830-8
REM Sleep,66,1,0,,,,93829-0
Light Sleep,83,18,20,,,,93830-8
REM Sleep,56,1,4,,,,93829-0
REM Sleep,60,0,-1,,,,93829-0
Light Sleep,52,3,4,,,,93830-8
Light Sleep,65,7,31,,,,93830-8
Light Sleep,58,2,5,,,,93830-8
Light Sleep,75,11,37,,,,93830-8
Light Sleep,56,4,5,,,,93830-8
Light Sleep,49,2,7,,,,93830-8
Light Sleep,70,0,0,,,,93830-8
Light Sleep,81,8,20,,,,93830-8
Light Sleep,49,3,6,,,,93830-8
REM Sleep,59,2,7,,,,93829-0
Light Sleep,83,6,25,,,,93830-8
REM Sleep,54,2,0,,,,93829-0
REM Sleep,61,2,-1,,,,93829-0
Light Sleep,79,12,0,,,,93830-8
Light Sleep,50,7,9,,,,93830-8
Light Sleep,74,3,13,,,,93830-8
Light Sleep,50,5,36,,,,93830-8
REM Sleep,63,0,1,,,,93829-0
Light Sleep,60,3,3,,,,93830-8
Light Sleep,60,5,4,,,,93830-8
REM Sleep,50,1,2,,,,93829-0
Light Sleep,62,0,0,,,,93830-8
Light Sleep,67,4,4,,,,93830-8
Light Sleep,82,11,17,,,,93830-8
Light Sleep,85,10,21,,,,93830-8
Light Sleep,84,8,7,,,,93830-8
Light Sleep,84,15,24,,,,93830-8
Light Sleep,80,10,15,,,,93830-8
Light Sleep,73,17,9,,,,93830-8
REM Sleep,53,5,4,,,,93829-0
REM Sleep,51,2,9,,,,93829-0
Light Sleep,51,4,7,,,,93830-8
Light Sleep,62,-1,0,,,,93830-8
REM Sleep,51,1,0,,,,93829-0
REM Sleep,50,0,5,,,,93829-0
Light Sleep,77,20,19,,,,93830-8
Light Sleep,85,9,21,,,,93830-8
REM Sleep,77,1,2,,,,93829-0
Light Sleep,84,12,6,,,,93830-8
Light Sleep,56,2,4,,,,93830-8
REM Sleep,64,0,0,,,,93829-0
Light Sleep,50,5,12,,,,93830-8
Light Sleep,70,3,-1,,,,93830-8
Light Sleep,59,8,11,,,,93830-8
Light Sleep,79,8,32,,,,93830-8
Light Sleep,83,16,27,,,,93830-8
Light Sleep,85,12,18,,,,93830-8
Light Sleep,52,8,25,,,,93830-8
Light Sleep,80,6,8,,,,93830-8
Light Sleep,50,4,8,,,,93830-8
Light Sleep,62,4,28,,,,93830-8
REM Sleep,67,-1,0,,,,93829-0
Light Sleep,76,15,14,,,,93830-8
Light Sleep,80,11,17,,,,93830-8
Light Sleep,71,14,17,,,,93830-8
Light Sleep,85,18,12,,,,93830-8
Light Sleep,49,1,7,,,,93830-8
Light Sleep,86,17,15,,,,93830-8
Light Sleep,79,12,23,,,,93830-8
Light Sleep,69,10,31,,,,93830-8
REM Sleep,66,-1,0,,,,93829-0
Light Sleep,55,7,6,,,,93830-8
Light Sleep,65,8,16,,,,93830-8
Light Sleep,57,3,6,,,,93830-8
REM Sleep,57,2,9,,,,93829-0
REM Sleep,56,2,2,,,,93829-0
REM Sleep,58,2,5,,,,93829-0
REM Sleep,52,1,2,,,,93829-0
REM Sleep,57,2,2,,,,93829-0
Light Sleep,51,5,7,,,,93830-8
Light Sleep,54,10,17,,,,93830-8
Light Sleep,70,0,9,,,,93830-8
Light Sleep,57,6,7,,,,93830-8
Light Sleep,50,9,11,,,,93830-8
Light Sleep,59,19,22,,,,93830-8
Light Sleep,78,11,21,,,,93830-8
Light Sleep,51,6,14,,,,93830-8
REM Sleep,64,0,-1,,,,93829-0
Light Sleep,83,11,19,,,,93830-8
